% analcatdata    A collection of data sets used in the book "Analyzing Categorical Data,"
%                by Jeffrey S. Simonoff, Springer-Verlag, New York, 2003. The submission
%                consists of a zip file containing two versions of each of 84 data sets, 
%                plus this README file. Each data set is given in comma-delimited ASCII
%                (.csv) form, and Microsoft Excel (.xls) form.
% 
% NOTICE: These data sets may be used freely for scientific, educational and/or
%         noncommercial purposes, provided suitable acknowledgment is given (by citing
%         the above-named reference).
% 
% Further details concerning the book, including information on statistical software
% (including sample S-PLUS/R and SAS code), are available at the web site
% 
%             http://www.stern.nyu.edu/~jsimonof/AnalCatData
%
%
% Information about the dataset
% CLASSTYPE: nominal
% CLASSINDEX: last
%
%
% Note: Quotes, Single-Quotes and Backslashes were removed, Blanks replaced
%       with Underscores
%

@relation analcatdata-braziltourism

@attribute Age INTEGER
@attribute Sex {0,1,4}
@attribute Income REAL
@attribute Travel_cost REAL
@attribute Access_road {0,1}
@attribute Active {0,1,2,3,4,5,6}
@attribute Passive {0,1,2,3,4}
@attribute Logged_income REAL
@attribute Trips {0,1,2,3,4,5,7}

@data
35,0,250,48.0003,1,1,0,5.521460918,0
25,1,218.75,52.2,0,2,2,5.387929525,0
37,0,1875,163.5,0,0,0,7.536363938,0
29,1,781.25,87,0,0,0,6.660895201,0
54,0,562.5,21,0,0,0,6.332391134,0
34,0,218.75,60,1,0,1,5.387929525,0
40,0,468.75,56.4,1,0,0,6.150069577,0
32,1,2187.5,48.0003,0,1,1,7.690514618,0
62,1,781.25,56.4,0,2,2,6.660895201,0
36,1,937.5,48.0003,0,2,1,6.843216758,0
62,0,?,48,0,1,1,?,0
52,0,625,48,0,1,1,6.43775165,0
42,1,1250,82.2,0,3,4,7.13089883,0
62,0,198.019802,48.0003,0,0,0,5.288367036,0
41,0,1485.148515,303.6,0,0,0,7.303270056,0
54,0,1237.623762,48.0003,1,0,0,7.120948499,0
19,1,2351.485149,170.4,0,0,0,7.762802386,0
42,1,198.019802,48.0003,1,0,0,5.288367036,0
28,1,222.7722772,60,0,0,0,5.406150071,0
47,0,990.0990099,48.0003,0,0,1,6.897804948,0
30,1,742.5742574,48.0003,0,0,1,6.610122876,0
58,0,148.5148515,52.2,0,0,0,5.000684963,0
37,0,742.5742574,48.0003,0,0,1,6.610122876,0
38,0,1237.623762,112.5,0,0,0,7.120948499,0
42,0,7.425742574,48.0003,0,0,1,2.00495269,0
62,1,247.5247525,48.0003,0,0,0,5.511510587,0
28,0,371.2871287,48.0003,0,0,0,5.916975695,0
18,0,742.5742574,48.0003,0,1,1,6.610122876,0
39,1,1435.643564,197.4,0,2,2,7.269368505,0
39,1,1237.623762,48.0003,1,1,1,7.120948499,0
22,1,396.039604,48.0003,1,0,0,5.981514216,0
35,0,990.0990099,48.0003,1,1,1,6.897804948,0
45,0,990.0990099,48.0003,0,0,0,6.897804948,0
30,0,990.0990099,48.0003,0,0,0,6.897804948,0
39,0,371.2871287,48.0003,0,2,2,5.916975695,0
40,0,?,52.2,0,0,0,?,0
35,1,?,48.0003,1,0,0,?,0
15,1,247.5247525,48.0003,0,1,2,5.511510587,0
20,1,495.049505,48.0003,1,0,0,6.204657768,0
34,1,742.5742574,48.0003,1,0,0,6.610122876,0
26,1,742.5742574,48.0003,0,0,0,6.610122876,0
18,1,1237.623762,48.0003,0,0,0,7.120948499,0
32,1,990.0990099,48.0003,0,0,0,6.897804948,0
28,0,618.8118812,60,0,0,0,6.427801319,0
25,1,1113.861386,45,0,0,0,7.015587984,0
54,1,1406.25,48.0003,0,1,1,7.248681866,0
47,1,2000,161.7,0,0,0,7.60090246,0
42,1,?,48.0003,0,0,1,?,0
16,0,?,161.7,0,1,1,?,0
