% analcatdata    A collection of data sets used in the book "Analyzing Categorical Data,"
%                by Jeffrey S. Simonoff, Springer-Verlag, New York, 2003. The submission
%                consists of a zip file containing two versions of each of 84 data sets, 
%                plus this README file. Each data set is given in comma-delimited ASCII
%                (.csv) form, and Microsoft Excel (.xls) form.
% 
% NOTICE: These data sets may be used freely for scientific, educational and/or
%         noncommercial purposes, provided suitable acknowledgment is given (by citing
%         the above-named reference).
% 
% Further details concerning the book, including information on statistical software
% (including sample S-PLUS/R and SAS code), are available at the web site
% 
%             http://www.stern.nyu.edu/~jsimonof/AnalCatData
%
%
% Information about the dataset
% CLASSTYPE: nominal
% CLASSINDEX: last
%
%
% Note: Quotes, Single-Quotes and Backslashes were removed, Blanks replaced
%       with Underscores
%

@relation analcatdata-chall101

@attribute Temperature INTEGER
@attribute Pressure {50,100,200}
@attribute Damaged {0,1}

@data
66,50,0
66,50,0
66,50,0
66,50,0
66,50,0
66,50,0
70,50,1
70,50,0
70,50,0
70,50,0
70,50,0
70,50,0
69,50,0
69,50,0
69,50,0
69,50,0
69,50,0
69,50,0
68,50,0
68,50,0
68,50,0
68,50,0
68,50,0
68,50,0
67,50,0
67,50,0
67,50,0
67,50,0
67,50,0
67,50,0
72,50,0
72,50,0
72,50,0
72,50,0
72,50,0
72,50,0
73,100,0
73,100,0
73,100,0
73,100,0
73,100,0
73,100,0
70,100,0
70,100,0
70,100,0
70,100,0
70,100,0
70,100,0
57,200,1
57,200,0
57,200,0
57,200,0
57,200,0
57,200,0
63,200,1
63,200,0
63,200,0
63,200,0
63,200,0
63,200,0
70,200,1
70,200,0
70,200,0
70,200,0
70,200,0
70,200,0
78,200,0
78,200,0
78,200,0
78,200,0
78,200,0
78,200,0
67,200,0
67,200,0
67,200,0
67,200,0
67,200,0
67,200,0
53,200,1
53,200,1
53,200,0
53,200,0
53,200,0
53,200,0
67,200,0
67,200,0
67,200,0
67,200,0
67,200,0
67,200,0
75,200,0
75,200,0
75,200,0
75,200,0
75,200,0
75,200,0
70,200,0
70,200,0
70,200,0
70,200,0
70,200,0
70,200,0
81,200,0
81,200,0
81,200,0
81,200,0
81,200,0
81,200,0
76,200,0
76,200,0
76,200,0
76,200,0
76,200,0
76,200,0
79,200,0
79,200,0
79,200,0
79,200,0
79,200,0
79,200,0
75,200,1
75,200,1
75,200,0
75,200,0
75,200,0
75,200,0
76,200,0
76,200,0
76,200,0
76,200,0
76,200,0
76,200,0
58,200,1
58,200,0
58,200,0
58,200,0
58,200,0
58,200,0
