% CODING:
% 
% ITEM 1 = BUSINESS CONDIDIONS 6 MONTHS FROM NOW  (CONFERENCE BOARD)
% ITEM 2 = JOBS 6 MONTHS FROM NOW (CONFERENCE BOARD)
% ITEM 3 = FAMILY INCOME 6 MONTHS FROM NOW  (CONFERENCE BOARD)
% ITEM 4 = BUSINESS CONDITIONS A YEAR FROM NOW  (MICHIGAN)
% ITEM 5 = JOBS DURING THE COMING 12 MONTHS  (MICHIGAN)
% ITEM 6 = FAMILY INCOME DURING THE NEXT 12 MONTHS  (MICHIGAN)
% 
% RESPONSE P = PESSIMISTIC
% RESPONSE N = NEUTRAL
% RESPONSE O = OPTIMISTIC
% 
% 
% 1992 DATA:
% 
% 
% 
% 
% I AM GORDON BECHTEL AT E-MAIL BECHTEL AT NERVM.NERDC.UFL.EDU
% I AM WILLING TO HELP THOSE WHO HAVE PROBLEMS WITH THESE DATA.
% 
% 
% (3) THE CONFERENCE BOARD HAS GIVEN ITS PERMISSION TO PLACE ITS THREE
% "6 MONTH" ITEMS IN STATLIB.
% THE SURVEY RESEARCH CENTER AT THE UNIVERSITY OF MICHIGAN HAS GIVEN
% ITS PERMISSION TO PLACE ITS THREE "12 MONTH" ITEMS IN STATLIB.
%
%
% Information about the dataset
% CLASSTYPE: nominal
% CLASSINDEX: 1
%

@relation confidence

@attribute ITEM {BUSINESS_CONDIDIONS_6_MONTHS_FROM_NOW,BUSINESS_CONDITIONS_A_YEAR_FROM_NOW,FAMILY_INCOME_6_MONTHS_FROM_NOW,FAMILY_INCOME_DURING_THE_NEXT_12_MONTHS,JOBS_6_MONTHS_FROM_NOW,JOBS_DURING_THE_COMING_12_MONTHS}
@attribute P REAL
@attribute N REAL
@attribute O REAL

@data
BUSINESS_CONDIDIONS_6_MONTHS_FROM_NOW,668.9,2100.4,641.2
JOBS_6_MONTHS_FROM_NOW,984.3,1920.2,502.6
FAMILY_INCOME_6_MONTHS_FROM_NOW,433.2,2329.1,658.5
BUSINESS_CONDITIONS_A_YEAR_FROM_NOW,132.6,219.3,147.9
JOBS_DURING_THE_COMING_12_MONTHS,290.7,168.3,45.9
FAMILY_INCOME_DURING_THE_NEXT_12_MONTHS,91.8,142.8,270.3
BUSINESS_CONDIDIONS_6_MONTHS_FROM_NOW,692.9,2110.1,647.7
JOBS_6_MONTHS_FROM_NOW,1051.6,1869.8,511.9
FAMILY_INCOME_6_MONTHS_FROM_NOW,497.9,2329.5,626.8
BUSINESS_CONDITIONS_A_YEAR_FROM_NOW,125.2,210.4,150.3
JOBS_DURING_THE_COMING_12_MONTHS,280.6,150.3,60.1
FAMILY_INCOME_DURING_THE_NEXT_12_MONTHS,85.2,135.3,280.6
BUSINESS_CONDIDIONS_6_MONTHS_FROM_NOW,563.4,2206.4,836.1
JOBS_6_MONTHS_FROM_NOW,952.4,2039.2,617.9
FAMILY_INCOME_6_MONTHS_FROM_NOW,428.9,2537.2,643.4
BUSINESS_CONDITIONS_A_YEAR_FROM_NOW,96.3,228.1,172.4
JOBS_DURING_THE_COMING_12_MONTHS,218.0,212.9,71.0
FAMILY_INCOME_DURING_THE_NEXT_12_MONTHS,86.2,147.0,268.7
BUSINESS_CONDIDIONS_6_MONTHS_FROM_NOW,394.5,2181.9,879.7
JOBS_6_MONTHS_FROM_NOW,733.1,2073.6,642.3
FAMILY_INCOME_6_MONTHS_FROM_NOW,422.4,2398.3,638.9
