% The Committee on Statistical Graphics of the American Statistical
% Association (ASA) invites you to participate in its Second (1983)
% Exposition of Statistical Graphics Technology. The purposes of the
% Exposition are (l) to provide a forum in which users and providers of
% statistical graphics technology can exchange information and ideas and
% (2) to expose those members of the ASA community who are less familiar
% with statistical graphics to its capabilities and potential benefits
% to them. The Exposition wil1 be held in conjunction with the Annual
% Meetings in Toronto, August 15-18, 1983 and is tentatively scheduled
% for the afternoon of Wednesday, August 17.
% 
% Seven providers of statistical graphics technology participated in the
% l982 Exposition. By all accounts, the Exposition was well received by
% the ASA community and was a worthwhile experience for the
% participants. We hope to have those seven involved again this year,
% along with as many new participants as we can muster. The 1982
% Exposition was summarized in a paper to appear in the Proceeding of
% the Statistical Computing Section. A copy of that paper is enclosed
% for your information.
% 
% The basic format of the 1983 Exposition will be similar to that of
% 1982. However, based upon comments received and experience gained,
% there are some changes. The basic structure, intended to be simpler
% and more flexible than last year, is as follows:
% 
% A fixed data set is to be analyzed. This data set is a version of the
% CRCARS data set of
% 
%     Donoho, David and Ramos, Ernesto (1982), ``PRIMDATA:
%       Data Sets for Use With PRIM-H'' (DRAFT).
% 
% Because of the Committee's limited (zero) budget for the Exposition,
% we are forced to provide the data in hardcopy form only (enclosed).
% (Sorry!)
% 
% There are 406 observations on the following 8 variables: MPG (miles
% per gallon), # cylinders, engine displacement (cu. inches), horsepower,
% vehicle weight (lbs.), time to accelerate from O to 60 mph (sec.),
% model year (modulo 100), and origin of car (1. American, 2. European,
% 3. Japanese). These data appear on seven pages. Also provided are the
% car labels (types) in the same order as the 8 variables on seven
% separate pages. Missing data values are marked by series of question
% marks.
% 
% You are asked to analyze these data using your statistical graphics
% software. Your objective should be to achieve graphical displays which
% will be meaningful to the viewers and highlight relevant aspects of
% the data. If you can best achieve this using simple graphical formats,
% fine. If you choose to illustrate some of the more sophisticated
% capabilities of your software and can do so without losing relevancy
% to the data, that is fine, too. This year, there will be no Committee
% commentary on the individual presentations, so you are not competing
% with other presenters. The role of each presenter is to do his/her
% best job of presenting their statistical graphics technology to the
% viewers.
% 
% Each participant will be provided with a 6'(long) by 4'(tall)
% posterboard on which to display the results of their analyses. This is
% the same format as last year. You are encouraged to remain by your
% presentation during the Exposition to answer viewers' questions. Three
% copies of your presentation must be submitted to me by July 1. Movie
% or slide show presentations cannot be accommodated (sorry). The
% Committee will prepare its own poster presentation which will orient
% the viewers to the data and the purposes of the Exposition.
% 
% The ASA has asked us to remind all participants that the Exposition is
% intended for educational and scientific purposes and is not a
% marketing activity. Even though last year's participants did an
% excellent job of maintaining that distinction, a cautionary note at
% this point is appropriate.
% 
% Those of us who were involved with the 1982 Exposition found it
% worthwhile and fun to do. We would very much like to have you
% participate this year. For planning purposes, please RSVP (to me, in
% writing please) by April 15 as to whether you plan to accept the
% Committee's invitation.
% 
% If you have any questions about the Exposition, please call me on
% (301/763-5350). If you have specific questions about the data, or the
% analysis, please call Karen Kafadar on (301/921-3651). If you cannot
% participate but know of another person or group in your organization
% who can, please pass this invitation along to them.
% 
% Sincerely,
% 
%  
% 
% LAWRENCE H. COX
% Statistical Research Division
% Bureau of the Census
% Room 3524-3
% Washington, DC 20233
% 
%                
%
%
% Information about the dataset
% CLASSTYPE: nominal
% CLASSINDEX: last
%

@relation cars

@attribute name {amc_ambassador_brougham,amc_ambassador_dpl,amc_ambassador_sst,amc_concord,amc_concord_d/l,amc_concord_dl,amc_concord_dl_6,amc_gremlin,amc_hornet,amc_hornet_sportabout_(sw),amc_matador,amc_matador_(sw),amc_pacer,amc_pacer_d/l,amc_rebel_sst,amc_rebel_sst_(sw),amc_spirit_dl,audi_100_ls,audi_100ls,audi_4000,audi_5000,audi_5000s_(diesel),audi_fox,bmw_2002,bmw_320i,buick_century,buick_century_350,buick_century_limited,buick_century_luxus_(sw),buick_century_special,buick_electra_225_custom,buick_estate_wagon_(sw),buick_lesabre_custom,buick_opel_isuzu_deluxe,buick_regal_sport_coupe_(turbo),buick_skyhawk,buick_skylark,buick_skylark_320,buick_skylark_limited,cadillac_eldorado,cadillac_seville,capri_ii,chevroelt_chevelle_malibu,chevrolet_bel_air,chevrolet_camaro,chevrolet_caprice_classic,chevrolet_cavalier,chevrolet_cavalier_2-door,chevrolet_cavalier_wagon,chevrolet_chevelle_concours_(sw),chevrolet_chevelle_malibu,chevrolet_chevelle_malibu_classic,chevrolet_chevette,chevrolet_citation,chevrolet_concours,chevrolet_impala,chevrolet_malibu,chevrolet_malibu_classic_(sw),chevrolet_monte_carlo,chevrolet_monte_carlo_landau,chevrolet_monte_carlo_s,chevrolet_monza_2+2,chevrolet_nova,chevrolet_nova_custom,chevrolet_vega,chevrolet_vega_(sw),chevrolet_vega_2300,chevrolet_woody,chevy_c10,chevy_c20,chevy_s-10,chrysler_cordoba,chrysler_lebaron_medallion,chrysler_lebaron_salon,chrysler_lebaron_town_@_country_(sw),chrysler_new_yorker_brougham,chrysler_newport_royal,citroen_ds-21_pallas,datsun_1200,datsun_200-sx,datsun_200sx,datsun_210,datsun_210_mpg,datsun_280-zx,datsun_310,datsun_310_gx,datsun_510,datsun_510_(sw),datsun_510_hatchback,datsun_610,datsun_710,datsun_810,datsun_810_maxima,datsun_b-210,datsun_b210,datsun_b210_gx,datsun_f-10_hatchback,datsun_pl510,dodge_aries_se,dodge_aries_wagon_(sw),dodge_aspen,dodge_aspen_6,dodge_aspen_se,dodge_challenger_se,dodge_charger_2.2,dodge_colt,dodge_colt_(sw),dodge_colt_hardtop,dodge_colt_hatchback_custom,dodge_colt_m/m,dodge_coronet_brougham,dodge_coronet_custom,dodge_coronet_custom_(sw),dodge_d100,dodge_d200,dodge_dart_custom,dodge_diplomat,dodge_magnum_xe,dodge_monaco_(sw),dodge_monaco_brougham,dodge_omni,dodge_rampage,dodge_st._regis,fiat_124_sport_coupe,fiat_124_tc,fiat_124b,fiat_128,fiat_131,fiat_strada_custom,fiat_x1.9,ford_country,ford_country_squire_(sw),ford_escort_2h,ford_escort_4w,ford_f108,ford_f250,ford_fairmont,ford_fairmont_(auto),ford_fairmont_(man),ford_fairmont_4,ford_fairmont_futura,ford_fiesta,ford_futura,ford_galaxie_500,ford_gran_torino,ford_gran_torino_(sw),ford_granada,ford_granada_ghia,ford_granada_gl,ford_granada_l,ford_ltd,ford_ltd_landau,ford_maverick,ford_mustang,ford_mustang_boss_302,ford_mustang_cobra,ford_mustang_gl,ford_mustang_ii,ford_mustang_ii_2+2,ford_pinto,ford_pinto_(sw),ford_pinto_runabout,ford_ranger,ford_thunderbird,ford_torino,ford_torino_(sw),ford_torino_500,hi_1200d,honda_accord,honda_accord_cvcc,honda_accord_lx,honda_civic,honda_civic_(auto),honda_civic_1300,honda_civic_1500_gl,honda_civic_cvcc,honda_prelude,maxda_glc_deluxe,maxda_rx3,mazda_626,mazda_glc,mazda_glc_4,mazda_glc_custom,mazda_glc_custom_l,mazda_glc_deluxe,mazda_rx-4,mazda_rx-7_gs,mazda_rx2_coupe,mercedes-benz_240d,mercedes-benz_280s,mercedes_benz_300d,mercury_capri_2000,mercury_capri_v6,mercury_cougar_brougham,mercury_grand_marquis,mercury_lynx_l,mercury_marquis,mercury_marquis_brougham,mercury_monarch,mercury_monarch_ghia,mercury_zephyr,mercury_zephyr_6,nissan_stanza_xe,oldsmobile_cutlass_ciera_(diesel),oldsmobile_cutlass_ls,oldsmobile_cutlass_salon_brougham,oldsmobile_cutlass_supreme,oldsmobile_delta_88_royale,oldsmobile_omega,oldsmobile_omega_brougham,oldsmobile_starfire_sx,oldsmobile_vista_cruiser,opel_1900,opel_manta,peugeot_304,peugeot_504,peugeot_504_(sw),peugeot_505s_turbo_diesel,peugeot_604sl,plymouth_arrow_gs,plymouth_champ,plymouth_cricket,plymouth_cuda_340,plymouth_custom_suburb,plymouth_duster,plymouth_fury,plymouth_fury_gran_sedan,plymouth_fury_iii,plymouth_grand_fury,plymouth_horizon,plymouth_horizon_4,plymouth_horizon_miser,plymouth_horizon_tc3,plymouth_reliant,plymouth_sapporo,plymouth_satellite,plymouth_satellite_(sw),plymouth_satellite_custom,plymouth_satellite_custom_(sw),plymouth_satellite_sebring,plymouth_valiant,plymouth_valiant_custom,plymouth_volare,plymouth_volare_custom,plymouth_volare_premier_v8,pontiac_astro,pontiac_catalina,pontiac_catalina_brougham,pontiac_firebird,pontiac_grand_prix,pontiac_grand_prix_lj,pontiac_j2000_se_hatchback,pontiac_lemans_v6,pontiac_phoenix,pontiac_phoenix_lj,pontiac_safari_(sw),pontiac_sunbird_coupe,pontiac_ventura_sj,renault_12_(sw),renault_12tl,renault_18i,renault_5_gtl,renault_lecar_deluxe,saab_900s,saab_99e,saab_99gle,saab_99le,subaru,subaru_dl,toyota_carina,toyota_celica_gt,toyota_celica_gt_liftback,toyota_corolla,toyota_corolla_1200,toyota_corolla_1600_(sw),toyota_corolla_liftback,toyota_corolla_tercel,toyota_corona,toyota_corona_hardtop,toyota_corona_liftback,toyota_corona_mark_ii,toyota_cressida,toyota_mark_ii,toyota_starlet,toyota_tercel,toyouta_corona_mark_ii_(sw),triumph_tr7_coupe,vokswagen_rabbit,volkswagen_1131_deluxe_sedan,volkswagen_411_(sw),volkswagen_dasher,volkswagen_jetta,volkswagen_model_111,volkswagen_rabbit,volkswagen_rabbit_custom,volkswagen_rabbit_custom_diesel,volkswagen_rabbit_l,volkswagen_scirocco,volkswagen_super_beetle,volkswagen_super_beetle_117,volkswagen_type_3,volvo_144ea,volvo_145e_(sw),volvo_244dl,volvo_245,volvo_264gl,volvo_diesel,vw_dasher_(diesel),vw_pickup,vw_rabbit,vw_rabbit_c_(diesel),vw_rabbit_custom}
@attribute mpg REAL
@attribute cylinders {3,4,5,6,8}
@attribute displacement REAL
@attribute horsepower REAL
@attribute weight INTEGER
@attribute acceleration REAL
@attribute model.year INTEGER
@attribute origin {1,2,3}

@data
chevrolet_chevelle_malibu,18.0,8,307.0,130.0,3504,12.0,70,1
buick_skylark_320,15.0,8,350.0,165.0,3693,11.5,70,1
plymouth_satellite,18.0,8,318.0,150.0,3436,11.0,70,1
amc_rebel_sst,16.0,8,304.0,150.0,3433,12.0,70,1
ford_torino,17.0,8,302.0,140.0,3449,10.5,70,1
ford_galaxie_500,15.0,8,429.0,198.0,4341,10.0,70,1
chevrolet_impala,14.0,8,454.0,220.0,4354,9.0,70,1
plymouth_fury_iii,14.0,8,440.0,215.0,4312,8.5,70,1
pontiac_catalina,14.0,8,455.0,225.0,4425,10.0,70,1
amc_ambassador_dpl,15.0,8,390.0,190.0,3850,8.5,70,1
citroen_ds-21_pallas,?,4,133.0,115.0,3090,17.5,70,2
chevrolet_chevelle_concours_(sw),?,8,350.0,165.0,4142,11.5,70,1
ford_torino_(sw),?,8,351.0,153.0,4034,11.0,70,1
plymouth_satellite_(sw),?,8,383.0,175.0,4166,10.5,70,1
amc_rebel_sst_(sw),?,8,360.0,175.0,3850,11.0,70,1
dodge_challenger_se,15.0,8,383.0,170.0,3563,10.0,70,1
plymouth_cuda_340,14.0,8,340.0,160.0,3609,8.0,70,1
ford_mustang_boss_302,?,8,302.0,140.0,3353,8.0,70,1
chevrolet_monte_carlo,15.0,8,400.0,150.0,3761,9.5,70,1
buick_estate_wagon_(sw),14.0,8,455.0,225.0,3086,10.0,70,1
toyota_corona_mark_ii,24.0,4,113.0,95.00,2372,15.0,70,3
plymouth_duster,22.0,6,198.0,95.00,2833,15.5,70,1
amc_hornet,18.0,6,199.0,97.00,2774,15.5,70,1
ford_maverick,21.0,6,200.0,85.00,2587,16.0,70,1
datsun_pl510,27.0,4,97.00,88.00,2130,14.5,70,3
volkswagen_1131_deluxe_sedan,26.0,4,97.00,46.00,1835,20.5,70,2
peugeot_504,25.0,4,110.0,87.00,2672,17.5,70,2
audi_100_ls,24.0,4,107.0,90.00,2430,14.5,70,2
saab_99e,25.0,4,104.0,95.00,2375,17.5,70,2
bmw_2002,26.0,4,121.0,113.0,2234,12.5,70,2
amc_gremlin,21.0,6,199.0,90.00,2648,15.0,70,1
ford_f250,10.0,8,360.0,215.0,4615,14.0,70,1
chevy_c20,10.0,8,307.0,200.0,4376,15.0,70,1
dodge_d200,11.0,8,318.0,210.0,4382,13.5,70,1
hi_1200d,9.0,8,304.0,193.0,4732,18.5,70,1
datsun_pl510,27.0,4,97.00,88.00,2130,14.5,71,3
chevrolet_vega_2300,28.0,4,140.0,90.00,2264,15.5,71,1
toyota_corona,25.0,4,113.0,95.00,2228,14.0,71,3
ford_pinto,25.0,4,98.00,?,2046,19.0,71,1
volkswagen_super_beetle_117,?,4,97.00,48.00,1978,20.0,71,2
amc_gremlin,19.0,6,232.0,100.0,2634,13.0,71,1
plymouth_satellite_custom,16.0,6,225.0,105.0,3439,15.5,71,1
chevrolet_chevelle_malibu,17.0,6,250.0,100.0,3329,15.5,71,1
ford_torino_500,19.0,6,250.0,88.00,3302,15.5,71,1
amc_matador,18.0,6,232.0,100.0,3288,15.5,71,1
chevrolet_impala,14.0,8,350.0,165.0,4209,12.0,71,1
pontiac_catalina_brougham,14.0,8,400.0,175.0,4464,11.5,71,1
ford_galaxie_500,14.0,8,351.0,153.0,4154,13.5,71,1
plymouth_fury_iii,14.0,8,318.0,150.0,4096,13.0,71,1
dodge_monaco_(sw),12.0,8,383.0,180.0,4955,11.5,71,1
ford_country_squire_(sw),13.0,8,400.0,170.0,4746,12.0,71,1
pontiac_safari_(sw),13.0,8,400.0,175.0,5140,12.0,71,1
amc_hornet_sportabout_(sw),18.0,6,258.0,110.0,2962,13.5,71,1
chevrolet_vega_(sw),22.0,4,140.0,72.00,2408,19.0,71,1
pontiac_firebird,19.0,6,250.0,100.0,3282,15.0,71,1
ford_mustang,18.0,6,250.0,88.00,3139,14.5,71,1
mercury_capri_2000,23.0,4,122.0,86.00,2220,14.0,71,1
opel_1900,28.0,4,116.0,90.00,2123,14.0,71,2
peugeot_304,30.0,4,79.00,70.00,2074,19.5,71,2
fiat_124b,30.0,4,88.00,76.00,2065,14.5,71,2
toyota_corolla_1200,31.0,4,71.00,65.00,1773,19.0,71,3
datsun_1200,35.0,4,72.00,69.00,1613,18.0,71,3
volkswagen_model_111,27.0,4,97.00,60.00,1834,19.0,71,2
plymouth_cricket,26.0,4,91.00,70.00,1955,20.5,71,1
toyota_corona_hardtop,24.0,4,113.0,95.00,2278,15.5,72,3
dodge_colt_hardtop,25.0,4,97.50,80.00,2126,17.0,72,1
volkswagen_type_3,23.0,4,97.00,54.00,2254,23.5,72,2
chevrolet_vega,20.0,4,140.0,90.00,2408,19.5,72,1
ford_pinto_runabout,21.0,4,122.0,86.00,2226,16.5,72,1
chevrolet_impala,13.0,8,350.0,165.0,4274,12.0,72,1
pontiac_catalina,14.0,8,400.0,175.0,4385,12.0,72,1
plymouth_fury_iii,15.0,8,318.0,150.0,4135,13.5,72,1
ford_galaxie_500,14.0,8,351.0,153.0,4129,13.0,72,1
amc_ambassador_sst,17.0,8,304.0,150.0,3672,11.5,72,1
mercury_marquis,11.0,8,429.0,208.0,4633,11.0,72,1
buick_lesabre_custom,13.0,8,350.0,155.0,4502,13.5,72,1
oldsmobile_delta_88_royale,12.0,8,350.0,160.0,4456,13.5,72,1
chrysler_newport_royal,13.0,8,400.0,190.0,4422,12.5,72,1
mazda_rx2_coupe,19.0,3,70.00,97.00,2330,13.5,72,3
amc_matador_(sw),15.0,8,304.0,150.0,3892,12.5,72,1
chevrolet_chevelle_concours_(sw),13.0,8,307.0,130.0,4098,14.0,72,1
ford_gran_torino_(sw),13.0,8,302.0,140.0,4294,16.0,72,1
plymouth_satellite_custom_(sw),14.0,8,318.0,150.0,4077,14.0,72,1
volvo_145e_(sw),18.0,4,121.0,112.0,2933,14.5,72,2
volkswagen_411_(sw),22.0,4,121.0,76.00,2511,18.0,72,2
peugeot_504_(sw),21.0,4,120.0,87.00,2979,19.5,72,2
renault_12_(sw),26.0,4,96.00,69.00,2189,18.0,72,2
ford_pinto_(sw),22.0,4,122.0,86.00,2395,16.0,72,1
datsun_510_(sw),28.0,4,97.00,92.00,2288,17.0,72,3
toyouta_corona_mark_ii_(sw),23.0,4,120.0,97.00,2506,14.5,72,3
dodge_colt_(sw),28.0,4,98.00,80.00,2164,15.0,72,1
toyota_corolla_1600_(sw),27.0,4,97.00,88.00,2100,16.5,72,3
buick_century_350,13.0,8,350.0,175.0,4100,13.0,73,1
amc_matador,14.0,8,304.0,150.0,3672,11.5,73,1
chevrolet_malibu,13.0,8,350.0,145.0,3988,13.0,73,1
ford_gran_torino,14.0,8,302.0,137.0,4042,14.5,73,1
dodge_coronet_custom,15.0,8,318.0,150.0,3777,12.5,73,1
mercury_marquis_brougham,12.0,8,429.0,198.0,4952,11.5,73,1
chevrolet_caprice_classic,13.0,8,400.0,150.0,4464,12.0,73,1
ford_ltd,13.0,8,351.0,158.0,4363,13.0,73,1
plymouth_fury_gran_sedan,14.0,8,318.0,150.0,4237,14.5,73,1
chrysler_new_yorker_brougham,13.0,8,440.0,215.0,4735,11.0,73,1
buick_electra_225_custom,12.0,8,455.0,225.0,4951,11.0,73,1
amc_ambassador_brougham,13.0,8,360.0,175.0,3821,11.0,73,1
plymouth_valiant,18.0,6,225.0,105.0,3121,16.5,73,1
chevrolet_nova_custom,16.0,6,250.0,100.0,3278,18.0,73,1
amc_hornet,18.0,6,232.0,100.0,2945,16.0,73,1
ford_maverick,18.0,6,250.0,88.00,3021,16.5,73,1
plymouth_duster,23.0,6,198.0,95.00,2904,16.0,73,1
volkswagen_super_beetle,26.0,4,97.00,46.00,1950,21.0,73,2
chevrolet_impala,11.0,8,400.0,150.0,4997,14.0,73,1
ford_country,12.0,8,400.0,167.0,4906,12.5,73,1
plymouth_custom_suburb,13.0,8,360.0,170.0,4654,13.0,73,1
oldsmobile_vista_cruiser,12.0,8,350.0,180.0,4499,12.5,73,1
amc_gremlin,18.0,6,232.0,100.0,2789,15.0,73,1
toyota_carina,20.0,4,97.00,88.00,2279,19.0,73,3
chevrolet_vega,21.0,4,140.0,72.00,2401,19.5,73,1
datsun_610,22.0,4,108.0,94.00,2379,16.5,73,3
maxda_rx3,18.0,3,70.00,90.00,2124,13.5,73,3
ford_pinto,19.0,4,122.0,85.00,2310,18.5,73,1
mercury_capri_v6,21.0,6,155.0,107.0,2472,14.0,73,1
fiat_124_sport_coupe,26.0,4,98.00,90.00,2265,15.5,73,2
chevrolet_monte_carlo_s,15.0,8,350.0,145.0,4082,13.0,73,1
pontiac_grand_prix,16.0,8,400.0,230.0,4278,9.50,73,1
fiat_128,29.0,4,68.00,49.00,1867,19.5,73,2
opel_manta,24.0,4,116.0,75.00,2158,15.5,73,2
audi_100ls,20.0,4,114.0,91.00,2582,14.0,73,2
volvo_144ea,19.0,4,121.0,112.0,2868,15.5,73,2
dodge_dart_custom,15.0,8,318.0,150.0,3399,11.0,73,1
saab_99le,24.0,4,121.0,110.0,2660,14.0,73,2
toyota_mark_ii,20.0,6,156.0,122.0,2807,13.5,73,3
oldsmobile_omega,11.0,8,350.0,180.0,3664,11.0,73,1
plymouth_duster,20.0,6,198.0,95.00,3102,16.5,74,1
ford_maverick,21.0,6,200.0,?,2875,17.0,74,1
amc_hornet,19.0,6,232.0,100.0,2901,16.0,74,1
chevrolet_nova,15.0,6,250.0,100.0,3336,17.0,74,1
datsun_b210,31.0,4,79.00,67.00,1950,19.0,74,3
ford_pinto,26.0,4,122.0,80.00,2451,16.5,74,1
toyota_corolla_1200,32.0,4,71.00,65.00,1836,21.0,74,3
chevrolet_vega,25.0,4,140.0,75.00,2542,17.0,74,1
chevrolet_chevelle_malibu_classic,16.0,6,250.0,100.0,3781,17.0,74,1
amc_matador,16.0,6,258.0,110.0,3632,18.0,74,1
