%
% White Clover Persistence Trials
% -------------------------------
%
% Data source:   Ian Tarbotton
%		 AgResearch
%		 Whatawhata Research Centre
%                Hamilton
%                New Zealand
%
% The objective was to determine the mechanisms which influence the persistence
% of white clover populations in summer dry hill land. In particular reference
% to the consequence of a severe summer dry period in 1993/1994 and how it 
% impacted on the performance of three white clover cultivars in an on-going 
% experiment located at Whatawhata Research Centre.
% 
% The machine learning objective was to predict the amount of white clover in 
% 1994 from the amount of white clover and other species in the years 1991 to
% 1994 as well as information on the 'strata' where the white clover was being
% grown.
%
% Number of Instances: 63
%
% Attribute Information:
%  1.  strata - enumerated
%  2.  plot - enumerated
%  3.  paddock - enumerated
%  4.  WhiteClover-91 - white clover meaurement in 1991 - real
%  5.  BareGround-91 - bare ground meaurement in 1991 - real
%  6.  Cocksfoot-91 - cocksfoot meaurement in 1991 - real
%  7.  OtherGrasses-91 - other grasses meaurement in 1991 - real
%  8.  OtherLegumes-91 - other legumes meaurement in 1991 - real
%  9.  RyeGrass-91 - ryegrass meaurement in 1991 - real
%  10. Weeds-91 - weeds meaurement in 1991 - real
%  11. WhiteClover-92 - white clover meaurement in 1992 - real
%  12. BareGround-92 - bare ground meaurement in 1992 - real
%  13. Cocksfoot-92 - cocksfoot meaurement in 1992 - real
%  14. OtherGrasses-92 - other grasses meaurement in 1992 - real
%  15. OtherLegumes-92 - other legumes meaurement in 1992 - real
%  16. RyeGrass-92 - ryegrass meaurement in 1992 - real
%  17. Weeds-92 - weeds meaurement in 1992 - real
%  18. WhiteClover-93 - white clover meaurement in 1993 - real
%  19. BareGround-93 - bare ground meaurement in 1993 - real
%  20. Cocksfoot-93 - cocksfoot meaurement in 1993 - real
%  21. OtherGrasses-93 - other grasses meaurement in 1993 - real
%  22. OtherLegumes-93 - other legumes meaurement in 1993 - real
%  23. RyeGrass-93 - ryegrass meaurement in 1993 - real
%  24. Weeds-93 - weeds meaurement in 1993 - real
%  25. BareGround-94 - bare ground meaurement in 1994 - real
%  26. Cocksfoot-94 - cocksfoot meaurement in 1994 - real
%  27. OtherGrasses-94 - other grasses meaurement in 1994 - real
%  28. OtherLegumes-94 - other legumes meaurement in 1994 - real
%  29. RyeGrass-94 - ryegrass meaurement in 1994 - real
%  30. Weeds-94 - weeds meaurement in 1994 - real
%  31. strata-combined - enumerated
%  Class:
%  32.  WhiteClover-94 - white clover meaurement in 1994 - enumerated
%
% Class Distribution:
%        0<=WhiteClover-94<8.8225  - 38
%   8.8225<=WhiteClover-94<17.645  - 20
%   17.645<=WhiteClover-94<26.4675 - 4
%  26.4675<=WhiteClover-94<=35.29  - 1
%

@relation white-clover

@attribute strata {1_OldCamp,2_NewTrack,3_Easy,4_Moderate,5_Steep,6_OldEdge,7_NewEdge}
@attribute plot {huia,prop,tahora}
@attribute paddock {25,42,45}
@attribute WhiteClover-91 numeric
@attribute BareGround-91 numeric
@attribute Cocksfoot-91 numeric
@attribute OtherGrasses-91 numeric
@attribute OtherLegumes-91 numeric
@attribute RyeGrass-91 numeric
@attribute Weeds-91 numeric
@attribute WhiteClover-92 numeric
@attribute BareGround-92 numeric
@attribute Cocksfoot-92 numeric
@attribute OtherGrasses-92 numeric
@attribute OtherLegumes-92 numeric
@attribute RyeGrass-92 numeric
@attribute Weeds-92 numeric
@attribute WhiteClover-93 numeric
@attribute BareGround-93 numeric
@attribute Cocksfoot-93 numeric
@attribute OtherGrasses-93 numeric
@attribute OtherLegumes-93 numeric
@attribute RyeGrass-93 numeric
@attribute Weeds-93 numeric
@attribute BareGround-94 numeric
@attribute Cocksfoot-94 numeric
@attribute OtherGrasses-94 numeric
@attribute OtherLegumes-94 numeric
@attribute RyeGrass-94 numeric
@attribute Weeds-94 numeric
@attribute strata-combined {1,4,3}
@attribute WhiteClover-94 {0<=WhiteClover-94<8.8225,8.8225<=WhiteClover-94<17.645,17.645<=WhiteClover-94<26.4675,26.4675<=WhiteClover-94<=35.29}

@data

1_OldCamp,tahora,45,39.13,0,0,13.04,0,39.13,8.7,26.25,0,13.75,20,0,31.25,8.75,21.43,0,21.43,14.29,0,28.57,14.29,0,41.67,0,0,25,8.33,1,17.645<=WhiteClover-94<26.4675
6_OldEdge,prop,42,13.33,6.67,6.67,33.33,0,20,20,33.33,0,33.33,0,0,33.33,0,5.56,0,33.33,16.67,0,33.33,11.11,0,0,50,0,0,50,1,0<=WhiteClover-94<8.8225
6_OldEdge,prop,25,14.29,0,21.43,21.43,0,28.57,14.29,50,0,0,0,0,50,0,0,0,0,0,0,0,0,0,38.24,23.53,0,23.53,11.76,1,0<=WhiteClover-94<8.8225
7_NewEdge,tahora,42,26.67,0,33.33,20,0,13.33,6.67,13.33,0,35.56,22.22,2.22,24.44,2.22,0,0,0,0,0,0,0,0,16.67,50,16.67,0,16.67,1,0<=WhiteClover-94<8.8225
5_Steep,prop,42,24.02,5.41,14.41,31.23,2.7,12.61,9.61,15.95,3.42,29.34,7.98,1.42,22.79,19.09,17.23,0.52,10.97,36.81,5.48,13.58,15.4,1.64,15.57,32.51,7.65,4.64,30.33,4,0<=WhiteClover-94<8.8225
6_OldEdge,prop,45,20,0,20,20,0,40,0,33.33,0,0,0,0,33.33,33.33,0,0,45.45,9.09,0,36.36,9.09,0,0,0,0,0,0,1,0<=WhiteClover-94<8.8225
7_NewEdge,tahora,25,18.18,0,18.18,18.18,0,27.27,18.18,7.14,10.71,14.29,25,0,21.43,21.43,13.73,1.96,33.33,29.41,1.96,9.8,9.8,0,28.57,28.57,0,42.86,0,1,0<=WhiteClover-94<8.8225
5_Steep,prop,25,12.53,7.24,8.91,29.25,6.41,16.43,19.22,6.21,5.33,23.08,18.05,2.07,22.49,22.78,7.24,2.3,12.5,37.83,12.17,9.54,18.42,2.06,10.59,42.94,13.82,8.24,15.59,4,0<=WhiteClover-94<8.8225
5_Steep,prop,45,23.02,4.76,7.94,23.81,4.76,14.68,21.03,22.27,0.44,17.47,27.51,5.68,9.61,17.03,13.85,0.87,20.35,29,11.26,9.96,14.72,0.96,16.35,25,14.9,4.81,30.29,4,0<=WhiteClover-94<8.8225
7_NewEdge,tahora,45,12.5,8.33,16.67,12.5,4.17,25,20.83,18.75,0,50,12.5,0,6.25,12.5,15.15,0,39.39,18.18,6.06,9.09,12.12,0,0,0,0,0,0,1,0<=WhiteClover-94<8.8225
4_Moderate,prop,42,29.84,0.78,10.85,24.03,5.04,22.87,6.59,17.91,1,23.38,4.98,2.99,33.33,16.42,20.63,0,7.62,34.08,8.97,15.7,13,0.34,8.84,29.59,10.2,10.54,29.25,4,8.8225<=WhiteClover-94<17.645
4_Moderate,prop,25,18.07,2.1,10.5,19.75,10.08,25.63,13.87,15.98,2.37,19.53,9.47,2.37,36.09,14.2,15.22,1.09,7.61,36.23,13.04,12.68,14.13,1.15,14.94,38.51,12.07,13.22,13.79,4,0<=WhiteClover-94<8.8225
1_OldCamp,prop,42,8.7,0,0,30.43,0,47.83,13.04,14.29,0,28.57,0,0,57.14,0,15.38,7.69,0,15.38,0,46.15,15.38,0,5.88,11.76,5.88,23.53,17.65,1,26.4675<=WhiteClover-94<=35.29
4_Moderate,prop,45,26.21,0.65,8.74,23.3,4.53,19.74,16.83,27.65,0.28,13.41,25.42,3.91,15.08,14.25,17.8,0,12.15,27.97,10.45,16.1,15.54,0.28,11.02,28.81,15.25,7.34,26.84,4,8.8225<=WhiteClover-94<17.645
1_OldCamp,prop,25,32.26,0,6.45,9.68,0,45.16,6.45,0,0,0,0,0,0,0,12.9,0,25.81,19.35,0,41.94,0,3.28,16.39,26.23,4.92,45.9,1.64,1,0<=WhiteClover-94<8.8225
2_NewTrack,huia,42,15,5,5,40,0,35,0,22.22,0,16.67,11.11,0,50,0,17.74,0,12.9,23.39,11.29,20.97,13.71,0,14.29,14.29,0,42.86,28.57,1,0<=WhiteClover-94<8.8225
