%
% Squash Harvest Stored
% ---------------------
%
% Data source:	Winna Harvey
%		Crop & Food Research
%		Christchurch
%               New Zealand
%
% The purpose of the research was to determine the changes taking place in
% squash fruit during the maturation and ripening so as to pinpoint the best
% time to give the best quality at the market place (Japan). The squash is
% transported to Japan by refrigerated cargo vessels and takes three to four
% weeks to reach the market. Evaluations were carried out at a stage 
% representing the quality inspection stage prior to export and also at the 
% stage it would reach on arriving at the market place. 
%
% The original objectives were to determine which pre-harvest variables
% contribute to good tasting squash after different periods of storage time. 
% This is determined by whether a measure of acceptability found by 
% categorising each squash as either unacceptable, acceptable or excellent.
%
% The fruit in this dataset were stored before being measured, and they have
% an extra attribute that squash-unstored lacks - the weight of the fruit after
% storage.
%
% Number of Instances: 52
%
% Attribute Information:
%  1.  site - where fruit is located - enumerated
%  2.  daf - number of days after flowering - enumerated
%  3.  fruit - individual number of the fruit (not unique) - enumerated
%  4.  weight - weight of whole fruit in grams - real
%  5.  storewt - weight of fruit after storage - real
%  6.  pene - penetrometer indicates maturity of fruit at harvest - integer
%  7.  solids_% - a test for dry matter - integer
%  8.  brix - a refactometer measurement used to indicate sweetnes or ripeness
%             of the fruit - integer
%  9.  a* - the a* coordinate of the HunterLab L* a* b* notation of colour
%           measurement - integer
%  10. egdd - the heat accumulation above a base of 8c from emergence of the 
%             plant to harvest of the fruit - real
%  11. fgdd - the heat accumulation above a base of 8c from flowering to 
%             harvesting - real
%  12. groundspot_a* - the number indicating colour of skin where the fruit 
%                      rested on the ground - integer
%  13. glucose - measured in mg/100g of fresh weight - integer
%  14. fructose - measured in mg/100g of fresh weight - integer
%  15. sucrose - measured in mg/100g of fresh weight - integer
%  16. total - measured in mg/100g of fresh weight - integer
%  17. glucose+fructos	- measured in mg/100g of fresh weight - integer
%  18. starch - measured in mg/100g of fresh weight - integer
%  19. sweetness - the mean of eight taste panel scores; out of 1500 - integer
%  20. flavour	- the mean of eight taste panel scores; out of 1500 - integer
%  21. dry/moist - the mean of eight taste panel scores; out of 1500 - integer
%  22. fibre - the mean of eight taste panel scores; out of 1500 - integer
%  23. heat_input_emerg - the amount of heat emergence after harvest - real
%  24. heat_input_flower - the amout of heat input before flowering - real
%  Class:
%  25. Acceptability - the acceptability of the fruit - enumerated
%
% Class Distribution:
%       excellent - 23
%              ok - 21
%  not_acceptable - 8
%

@relation squash-stored

@attribute site {P,HB,LINC}
@attribute daf {30,40,50,60,70}
@attribute fruit {1,2,9,10,7,11,17,3,4,12,8,13,5,15,6,20,14,23,27,16,19,21}
@attribute weight numeric
@attribute storewt numeric
@attribute pene numeric
@attribute solids numeric
@attribute brix numeric
@attribute a* numeric
@attribute egdd numeric
@attribute fgdd numeric
@attribute groundspot_a* numeric
@attribute glucose numeric
@attribute fructose numeric
@attribute sucrose numeric
@attribute total numeric
@attribute glucose+fructose numeric
@attribute starch numeric
@attribute sweetness numeric
@attribute flavour numeric
@attribute dry/moist numeric
@attribute fibre numeric
@attribute heat_input_emerg numeric
@attribute heat_input_flower numeric
@attribute Acceptability {excellent,ok,not_acceptable}

@data

P,30,1,1815,1717,8.3,22.3,10.6,22.5,651,262,7.71,18.93,18.71,20,57.65,37.64,92.77,667,748.6,610.1,376.9,847,458,excellent
P,30,2,1667,1590,8.4,21.6,11.3,19.9,651,262,7.12,20.24,18.36,22.38,60.98,38.6,85.1,823.6,817.8,670.9,308.4,721,458,excellent
P,30,9,1508,1437,7,19.8,11.2,20.2,651,262,10.58,20.73,19.58,18.63,58.94,40.31,70.29,740.5,837.8,693.7,331.5,847,458,ok
P,30,10,1508,1422,6.6,19.1,10.6,21,651,262,2.97,24.33,20.57,13.58,58.48,44.9,63.79,697.5,780.8,784.4,408.4,847,458,ok
P,40,2,1611,1504,8,16.3,10.1,23.9,772,372,0.48,21.37,16.45,20.05,57.87,37.82,27.87,740.5,746.5,744.5,590.5,968,568,ok
P,40,7,1709,1596,8.9,22.1,11.3,20.7,772,372,8.18,16.97,15.16,26.87,59.01,32.13,71.83,768.3,899.4,637.7,316,968,568,excellent
P,40,11,1758,1663,8.3,23.6,11.9,24.5,772,372,9.63,16.8,15.65,30.47,62.92,32.45,90.15,871.2,848.9,605.8,296.1,968,568,excellent
P,40,17,2135,2002,7.7,19.9,11.1,21.3,772,372,5.56,21.99,17.81,22.63,62.43,39.8,50.94,807.5,803,924.7,686.1,968,568,ok
P,50,3,1614,1539,9.9,22.9,13.4,25.8,891,461,15.17,14.77,12.3,37.35,64.42,27.07,72.82,832.3,875.1,644.1,163.2,1087,531,excellent
P,50,4,1580,1507,8.1,21.2,11.3,23.4,891,461,6.47,18.15,14.92,26.92,60,33.07,69.96,837.6,813.1,743.1,306.1,1087,657,ok
P,50,7,1374,1317,8.8,18.4,10.9,25.5,891,461,14.5,16.93,13.86,24.18,54.96,30.78,44.34,706.5,769.9,816,513.2,1087,657,ok
P,50,12,2735,2604,11.2,22.7,12.8,25.8,891,461,19.45,18.43,14.89,33.35,66.67,33.32,71.96,939.5,965.7,646.9,169.1,1087,657,excellent
P,60,4,2300,2218,10.8,27.2,13.7,24.2,953,542,14.12,8.62,7.83,46.35,62.8,16.46,119.41,787.9,895.4,537,270.9,1023,738,excellent
P,60,8,1600,1615,11,19.2,11.9,29,953,542,16.89,17.38,13.19,33.24,63.8,30.57,54.14,909.5,893,945.6,557.7,1023,738,excellent
P,60,12,2100,2093,9.4,20.7,12.1,24,953,542,14.81,?,?,?,?,?,?,810.1,896.8,766.9,489.1,1023,738,excellent
P,60,13,1800,1820,10.9,22.6,12.7,27.5,953,542,16.36,14.87,11.98,37.65,64.5,26.85,86.78,876.4,880.9,687.8,325.8,1023,738,excellent
HB,30,5,1488,1333,6.5,13.5,8,11.3,601,272,-3.33,12.15,12.5,4.78,29.43,24.65,35.1,550.3,627.6,949.1,423.3,797,468,ok
HB,30,7,1870,1690,5.1,15.7,9.1,11.7,601,272,-7.39,12.86,13.05,9.5,35.4,25.91,50.87,659.3,711,920.2,410,797,468,ok
HB,30,11,2253,1977,5.7,15.5,9.3,10.9,601,272,5.85,11.04,10.94,8.97,30.95,21.98,44.8,564,700.1,946.2,296,797,468,ok
